Found local copy...
Found local copy...
Found local copy...
These perturbations are not in the GO graph and their perturbation can thus not be predicted
['RHOXF2BB+ctrl' 'LYL1+IER5L' 'ctrl+IER5L' 'KIAA1804+ctrl' 'IER5L+ctrl'
 'RHOXF2BB+ZBTB25' 'RHOXF2BB+SET']
Local copy of pyg dataset is detected. Loading...
Done!
Local copy of split is detected. Loading...
Simulation split test composition:
combo_seen0:9
combo_seen1:43
combo_seen2:19
unseen_single:36
Done!
Creating dataloaders....
Done!
Found local copy...
[HCE] GO terms: 16, lambda_hce: 0.3, n_genes: 5045, n_perts: 9853
Start Training with HCE...
Epoch 8 Step 1151 | total=0.6142 mse=0.6134 hce=0.0024
Epoch 8 Step 1201 | total=0.5958 mse=0.5949 hce=0.0029
Epoch 8 Step 1251 | total=0.5164 mse=0.5157 hce=0.0025
Epoch 8 Step 1301 | total=0.4920 mse=0.4911 hce=0.0032
Epoch 8 Step 1351 | total=0.4909 mse=0.4876 hce=0.0110
Epoch 8 Step 1401 | total=0.5186 mse=0.5176 hce=0.0036
Epoch 8 Step 1451 | total=0.4831 mse=0.4823 hce=0.0025
Epoch 8 Step 1501 | total=0.5018 mse=0.5011 hce=0.0022
Epoch 8 Step 1551 | total=0.5049 mse=0.5039 hce=0.0035
Epoch 8: Val MSE=0.0735 | Val Pearson=0.8170 | HCE loss=0.0050
Epoch 9 Step 1 | total=0.5495 mse=0.5487 hce=0.0025
Epoch 9 Step 51 | total=0.4926 mse=0.4920 hce=0.0020
Epoch 9 Step 101 | total=0.4641 mse=0.4592 hce=0.0162
Epoch 9 Step 151 | total=0.5067 mse=0.4998 hce=0.0232
Epoch 9 Step 201 | total=0.5411 mse=0.5401 hce=0.0034
Epoch 9 Step 251 | total=0.5223 mse=0.5216 hce=0.0021
Epoch 9 Step 301 | total=0.4582 mse=0.4575 hce=0.0025
Epoch 9 Step 351 | total=0.4816 mse=0.4807 hce=0.0031
Epoch 9 Step 401 | total=0.4695 mse=0.4689 hce=0.0019
Epoch 9 Step 451 | total=0.5101 mse=0.5068 hce=0.0110
Epoch 9 Step 501 | total=0.5127 mse=0.5120 hce=0.0022
Epoch 9 Step 551 | total=0.5535 mse=0.5487 hce=0.0161
Epoch 9 Step 601 | total=0.6709 mse=0.6701 hce=0.0027
